year,GFDD.SI.01,GFDD.SI.02,GFDD.SI.04,GFDD.SI.06,GFDD.EI.01,GFDD.EI.05,GFDD.EI.06,GFDD.DI.01,GFDD.DI.05,GFDD.DI.12,FB.AST.NPER.ZS,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,NY.GDP.PCAP.CD,SP.POP.TOTL,GC.DOD.TOTL.GD.ZS,BX.KLT.DINV.WD.GD.ZS,FS.AST.PRVT.GD.ZS
2015,31.09669,0.92406291,106.6203,22.15973,1.415944,0.9448525,9.75458,122.4214,122.8592,125.5477,0.92406290512104,122.421353845761,122.859262887356,2.97679931634806,-0.521975611895763,55645.6068614606,5535002,103.320839751929,22.6541826890491,122.421353845761
2014,30.30799,0.75653286,106.2894,23.20498,1.515277,0.9594803,10.15883,128.1297,128.4456,131.2309,0.756532862271537,128.129763309946,128.445568957751,3.93554027709007,1.03316955857629,57564.8023114977,5469724,99.6097986729595,21.8184880782679,128.129763309946
2013,29.91776,0.86694161,102.2344,21.56504,1.593534,1.06331,10.54187,124.0661,128.851,127.0907,0.866941606339939,124.065951568619,128.850836242755,4.81763099120676,2.36439793742726,56967.4257940383,5399162,99.4464888561159,20.9344810446532,124.065951568619
2012,35.28123,1.0426281,92.78046,19.13026,1.65331,1.266485,11.79213,112.9734,128.9125,116.0387,1.04262808908742,112.973516048599,128.91277908618,4.43549759378537,4.58084479423094,55547.5553077786,5312437,107.828093624626,18.7435244231802,112.973543165736
2011,33.22896,1.0604556,87.87272,27.97275,1.607927,1.057086,9.63855,104.7036,126.1805,107.3917,1.06045560853893,104.703645381379,126.18064996831,6.21493416858989,5.25115624639373,53891.4570264372,5183688,104.78518384861,17.5960314065854,104.703673841577
2010,36.93113,1.4063543,81.45232,33.21583,1.770766,1.289557,11.29938,94.8584,123.2788,97.31304,1.40635425755787,94.8583721150003,123.278603193283,14.5197497108994,2.82884527612958,47236.683084953,5076732,101.449782417951,23.0694716770802,94.8584026979012
2009,35.48017,2,77.93083,34.73782,1.935482,1.04794,9.871746,96.86114,131.4503,99.71838,2.03438434173328,96.8613057265634,131.450329237999,0.127953382778088,0.589142019610516,38926.8054365453,4987573,106.372468302322,12.0710944143275,96.8613765494725
2008,32.21789,1.4,85.26715,28.5713,2.226676,1.284345,12.91565,97.86414,121.7082,101.4099,1.42549965541006,97.8642893229798,121.708568541616,1.86348345462035,6.63544058395309,40008.5720489092,4839396,96.4099647516113,7.02328608228286,97.8643623312414
2020,8.126854,3.23,93.07825,34.97546,2.85763,0.7104369,5.183173,125.6234,129.5129,160.3797,3.23248100828432,125.42777388134,146.593528837574,-6.05003846851622,-0.845937147357041,6985.64393892574,71641484,50.3227814999415,-0.857989527274493,160.110920105828
2019,8.738443,3.1302718,98.09275,19.75679,3.046409,1.434668,10.58137,111.266,109.5362,143.3235,3.13027182387349,111.287330112966,123.398633941482,2.11455779628278,0.706728601314311,7605.69657797759,71522271,38.6277055941279,1.01734877580041,143.369163383068
2018,8.163969,3.0839449,99.26152,19.2175,3.0042,1.131897,8.595558,112.1381,108.8852,144.0707,3.0839449162558,112.137542156366,122.819408351734,4.22287028746071,1.06389754183024,7099.77650081458,71376079,37.910418843604504,2.71279835138662,144.088791675771
2016,7.903003,2.9856961,99.11687,18.09899,2.93808,1.156788,9.281694,113.7413,109.7174,146.2039,2.98569607594999,113.740962932935,125.396342798662,3.43515771692182,0.188149704448143,5833.57715617098,70859841,37.3065204045664,0.843364340718618,146.223949449024
2015,7.614891,2.6828309,98.87464,18.01021,2.730188,1.109698,9.115556,115.8562,110.8262,149.3521,2.6828308673521,115.856106155555,127.730603893628,3.13404724911635,-0.900424963291569,5688.85335397884,70540795,36.6705695355179,2.22468548959784,149.373253475137
2014,7.410934,2.305233,98.48225,18.26737,2.949733,1.395178,12.13557,113.9944,108.2961,145.5443,2.305232984074,113.994129533959,127.049552300537,0.984468863619426,1.8951418189878,5801.1978916205,70216367,35.3904739452699,1.22145318013998,145.564225761056
2013,7.276725,2.3038271,97.99899,17.34016,2.799657,1.369036,12.32915,111.5198,107.269,142.3425,2.30382713124504,111.520037366195,124.369225680398,2.68749556320556,2.18488618530687,6018.08244729255,69845114,38.1666950570794,3.79126450872817,142.363202683937
2012,6.889478,2.4301868,97.66475,17.87552,2.934143,1.270036,11.74646,106.3727,103.1156,136.2102,2.43018679665442,106.372386291138,121.116547555291,7.24279620249642,3.01489950334985,5725.52802835463,69436098,28.4447160238828,3.24456444314608,136.230998631992
2011,6.819876,2.9326185,104.7779,16.20933,2.884993,1.145262,10.7507,101.4292,92.83801,130.6495,2.93261853635558,101.428972425595,119.925707350888,0.840132083053334,3.80879058139634,5373.6232832898,69007208,28.1319762983791,0.667087644548593,130.672937960862
2010,6.658918,3.8878578,99.51671,17.58033,3.243788,1.197879,11.62115,90.68301,87.26909,115.7223,3.88785784505743,90.6825927526696,108.980921332939,7.51339053261624,3.24758842443723,4973.86288823778,68579447,26.9008455475014,4.32320928209171,115.747568600025
2009,6.326543,5.1999998,96.37173,18.30619,3.238101,0.9950118,10.14638,90.3411,90.41679,108.9831,5.22061861150825,90.3410742433072,109.922073097665,-0.690618232300579,-0.845716092316721,4135.43986952819,68121080,26.7791952036446,2.27590224065624,108.983352741425
2008,5.936309,5.6999998,99.43614,19.54587,3.495173,0.916433,9.725571,87.70043,92.80585,105.7519,5.59879211346277,87.7082434711581,102.445696265008,1.72569884866334,5.46848949649845,4309.13509292986,67619830,22.4502172623288,2.93824905393328,105.759763937671
2007,5.429559,7.9000001,99.58391,17.3554,3.562407,0.174848,1.93695,86.22633,91.76361,106.3624,7.59844455870216,86.2263217343406,100.365424196487,5.43515169050809,2.24154095286803,3918.52817434581,67102394,22.9934668319175,3.28356939351343,106.362551068585
